Year,Month,Day,Accident Name,Train Name,Location,State,Accident Rail Zone,Accident Type,Standard Accident Type,Cause,Deaths,Injuries,Rescue Time (hrs),Reforms/Changes,Standard Cause Type
2011,September,13,Chennai Suburban MEMU Collision,"Chennai Suburban MEMU, Arakonam–Katpadi",Between Melpakkam and Chitheri stations,Tamil Nadu,Southern,Collision,Collision,Stationary train,10,60,7,#N/A,Technical Fault
2011,November,22,Howrah–Dehradun Doon Express Fire,Howrah–Dehradun Doon Express,Giridih district,Jharkhand,East Central,Fire,Fire,Fire in coaches,7,#N/A,5,#N/A,Human Error
2011,November,23,Qazigund to Baramulla Passenger Derailment,Qazigund to Baramulla Passenger,"Near Sadura, Anantnag district",Jammu and Kashmir,Northern,Derailment,Derailment,#N/A,#N/A,20,3,#N/A,Weather Conditions
2012,January,11,Brahmaputra Mail Collision,Brahmaputra Mail, Karonpuroto,Jharkhand,East Central,Collision,Collision,Stationary freight train,5,9,4,#N/A,Technical Fault
2012,February,26,Trivandrum–Kozhikode Jan Shatabdi Express Incident,Trivandrum–Kozhikode Jan Shatabdi Express,Wadakanchery,Kerala,Southern,Collision,Collision,People on tracks,3,1,2,#N/A,Technical Fault
2012,March,20,Train Collision with Taxi Minivan,#N/A,Northern Uttar Pradesh,Uttar Pradesh,Northern,Collision,Collision,Taxi at railway crossing,15,#N/A,4,#N/A,Technical Fault
2012,March,26,MEMU Commuter Train Collision,MEMU Commuter Train,"Kannamangala gate, Bangalore",Karnataka,South Western,Collision,Collision,Boulder-carrying truck,#N/A,2,1,#N/A,Technical Fault
2012,May,22,Cargo Train and Hampi Express Collision,"Cargo Train, Hubli-Bangalore Hampi Express","Penukonda, near Andhra Pradesh",Andhra Pradesh,South Western,Collision,Collision,Collision and fire,25,43,3,#N/A,Technical Fault
2012,May,31,Howrah–Dehradun Doon Express Derailment,Howrah–Dehradun Doon Express,Near Jaunpur,Uttar Pradesh,Northern,Derailment,Derailment,#N/A,5,15,5,#N/A,Weather Conditions
2012,July,19,Vidarbha Express Collision,Vidarbha Express,"Near Khardi station, Mumbai–Kasara route",Maharashtra,Central,Collision,Collision,#N/A,1,4,3,#N/A,Technical Fault
2012,July,30,Tamil Nadu Express Fire,Tamil Nadu Express,"Near Nellore, Andhra Pradesh",Andhra Pradesh,South Central,Fire,Fire,Fire in train,47,25,5,#N/A,Human Error
2012,November,30,Grand Trunk Express Fire,Grand Trunk Express,Near Gwalior,Madhya Pradesh,North Central,Fire,Fire,Fire in coaches,1,#N/A,2,#N/A,Human Error
2012,December,19,Indore–Yesvantpur Express Collision,Indore–Yesvantpur Express,"Near Sankhapur, Medak district",Telangana,South Central,Collision,Collision,Truck at railway crossing,#N/A,#N/A,8,#N/A,Technical Fault
2012,December,26,Ledo–Dibrugarh Town Passenger and Light Engine Collision,Ledo–Dibrugarh Town Passenger,Between Chabua and Panitola,Assam,North East Frontier,Collision,Collision,Head-on collision,#N/A,71,4,#N/A,Technical Fault
2013,April,10,Muzaffarpur–Yesvantpur Weekly Express Derailment,Muzaffarpur–Yesvantpur Weekly Express,"Near Arakkonam, 40 km from Chennai",Tamil Nadu,Southern,Derailment,Derailment,#N/A,1,1,5,#N/A,Weather Conditions
2013,August,19,Dhamara Ghat Train Accident,Saharsa–Patna Rajya Rani Superfast Express,"Dhamara station, Bihar",Bihar,East Central,Collision,Collision,Passengers disembarking from another train,35,#N/A,5,#N/A,Technical Fault
2013,November,2,Alappuzha–Dhanbad Express Collision,Alappuzha–Dhanbad Express,"Gotlam village, Vizianagaram",Andhra Pradesh,South Central,Collision,Collision,Passengers on fire rumor,10,20,3,#N/A,Technical Fault
2013,November,13,Chapramari Forest Train Accident,#N/A,"Chapramari Wildlife Sanctuary, West Bengal",West Bengal,Eastern,Collision,Collision,Herd of elephants,0,10,3,#N/A,Technical Fault
2013,November,15,Down Nizamuddin Ernakulam Mangala Lakshadweep Superfast Express Derailment,Down Nizamuddin Ernakulam Mangala Lakshadweep Superfast Express,"Near Ghoti village, Nashik district",Maharashtra,Central,Derailment,Derailment,#N/A,4,12,4,#N/A,Weather Conditions
2013,December,28,Bangalore City–Hazur Sahib Nanded Express Fire,Bangalore City–Hazur Sahib Nanded Express,"Near Kothacheruvu, Andhra Pradesh",Andhra Pradesh,South Central,Fire,Fire,Fire in train,26,12,3,#N/A,Human Error
2014,March,20,Local Train Derailment,Local Train,"Titwala, 61 km from Chhatrapati Shivaji Terminus",Maharashtra,Central,Derailment,Derailment,Uncoupling of coaches,1,9,3,#N/A,Weather Conditions
2014,May,1,Chennai Train Bombing,Guwahati–Bangalore Kaziranga Express,Chennai Central railway station,Tamil Nadu,Southern,Bombing,Bombing,Bomb explosions,1,14,5,#N/A,Sabotage
2014,May,4,Diva Junction-Sawantvadi Passenger Derailment,Diva Junction-Sawantvadi Passenger,Between Nagothane and Roha stations,Maharashtra,Western,Derailment,Derailment,#N/A,20,100,5,#N/A,Weather Conditions
2014,May,26,Gorakhdham Express Collision,Gorakhdham Express,"Near Khalilabad station, Uttar Pradesh",Uttar Pradesh,Northern,Collision,Collision,Stationary freight train,25,58,5,#N/A,Technical Fault
2014,June,25,Dibrugarh Rajdhani Express Derailment,Dibrugarh Rajdhani Express,"Near Chapra town, Bihar",Bihar,East Central,Derailment,Derailment,#N/A,4,8,2,#N/A,Weather Conditions
2014,July,23,Medak District Bus-Train Collision,Nanded-Secunderabad Passenger,"Masaipet village, Medak district",Telangana,South Central,Collision,Collision,School bus at unmanned level-crossing,20,#N/A,4,#N/A,Technical Fault
2015,February,13,Anekal Derailment,Bangalore City–Ernakulam Intercity Express,"Near Anekal, Bangalore Urban district",Karnataka,South Western,Derailment,Derailment,#N/A,12,100,5,#N/A,Weather Conditions
2015,March,20,Uttar Pradesh Train Accident,Dehradun–Varanasi Janta Express,"Rae Bareli, Uttar Pradesh",Uttar Pradesh,Northern,Derailment,Derailment,#N/A,58,150,5,#N/A,Weather Conditions
2015,May,25,Muri Express Derailment,Muri Express,Uttar Pradesh,Uttar Pradesh,Northern,Derailment,Derailment,#N/A,5,59,5,#N/A,Weather Conditions
2015,August,4,Harda Twin Train Derailment,"Kamayani Express, Janata Express",Between Kurawan and Bhiringi stations,Madhya Pradesh,West Central,Derailment,Derailment,Flash floods causing track misalignment,31,100,7,#N/A,Weather Conditions
2015,September,4,Chennai Egmore–Mangalore Central Express Derailment,Chennai Egmore–Mangalore Central Express,"Near Puvanur railway station, Villupuram–Vridhachalam section",Tamil Nadu,Southern,Derailment,Derailment,#N/A,#N/A,39,4,#N/A,Weather Conditions
2015,September,12,Secunderabad Junction–Lokmanya Tilak Terminus Duronto Express Derailment,Secunderabad Junction–Lokmanya Tilak Terminus Duronto Express,"Martur station, Karnataka",Karnataka,South Central,Derailment,Derailment,#N/A,2,7,4,#N/A,Weather Conditions
2015,September,12,Kalka–Shimla Shivalik Queen Derailment,Kalka–Shimla Shivalik Queen,Near Taksal,Himachal Pradesh,Northern,Derailment,Derailment,#N/A,2,13,7,#N/A,Weather Conditions
2016,February,5,Kanyakumari-Bengaluru Island Express Derailment,Kanyakumari-Bengaluru Island Express,Near Patchur station,Tamil Nadu,Southern,Derailment,Derailment,#N/A,#N/A,#N/A,1,#N/A,Weather Conditions
2016,May,6,Chennai Central–Thiruvananthapuram Central Superfast Express Collision,Chennai Central–Thiruvananthapuram Central Superfast Express,Near Pattabiram,Tamil Nadu,Southern,Collision,Collision,Side collision,#N/A,7,8,#N/A,Technical Fault
2016,August,27,Thiruvananthapuram-Mangaluru Express Derailment,Thiruvananthapuram-Mangaluru Express,Near Karukutty station,Kerala,Southern,Derailment,Derailment,#N/A,#N/A,#N/A,3,#N/A,Weather Conditions
2016,September,29,Bhubaneswar-Bhadrak Passenger and Goods Train Collision,Bhubaneswar-Bhadrak Passenger,"Cuttack, Odisha",Odisha,East Coast,Collision,Collision,#N/A,1,22,2,#N/A,Technical Fault
2016,November,20,Pukhrayan Train Derailment,Indore–Rajendra Nagar Express,"Pukhrayan, approx 60 km from Kanpur",Uttar Pradesh,North Central,Derailment,Derailment,#N/A,152,260,7,#N/A,Weather Conditions
2016,December,6,Rajendra Nagar-Guwahati Capital Express Derailment,Rajendra Nagar-Guwahati Capital Express,"Samuktala Road station, Alipurduar district",West Bengal,North East Frontier,Derailment,Derailment,#N/A,2,6,5,#N/A,Weather Conditions
2016,December,28,Kurla-Ambarnath Local Train Derailment,Kurla-Ambarnath Local,Mumbai,Maharashtra,Western,Derailment,Derailment,#N/A,#N/A,#N/A,6,#N/A,Weather Conditions
2016,December,28,Ajmer-Sealdah Express Derailment,Ajmer-Sealdah Express,Near Rura station,Uttar Pradesh,North Central,Derailment,Derailment,#N/A,#N/A,44,4,#N/A,Weather Conditions
2017,January,21,Kuneru Train Derailment,Jagdalpur–Bhubaneswar Hirakhand Express,"Near Kuneru, Vizianagaram",Andhra Pradesh,South Central,Derailment,Derailment,#N/A,41,69,5,#N/A,Weather Conditions
2017,March,7,Bhopal–Ujjain Passenger Train Bombing,Bhopal–Ujjain Passenger,Jabri railway station,Madhya Pradesh,Western,Bombing,Bombing,Bomb explosion,#N/A,10,6,#N/A,Sabotage
2017,March,30,Mahakaushal Express Derailment,Mahakaushal Express,"Near Kulpahar, Uttar Pradesh",Uttar Pradesh,North Central,Derailment,Derailment,#N/A,#N/A,52,5,#N/A,Weather Conditions
2017,April,15,Meerut–Lucknow Rajya Rani Express Derailment,Meerut–Lucknow Rajya Rani Express,Near Rampur,Uttar Pradesh,Northern,Derailment,Derailment,#N/A,#N/A,24,4,#N/A,Weather Conditions
2017,August,19,Puri–Haridwar Kalinga Utkal Express Derailment,Puri–Haridwar Kalinga Utkal Express,"Khatauli, Muzaffarnagar",Uttar Pradesh,Northern,Derailment,Derailment,#N/A,23,97,5,#N/A,Weather Conditions
2017,August,23,Auraiya Train Derailment,Kaifiyat Express,Between Pata and Achalda stations,Uttar Pradesh,North Central,Derailment,Derailment,#N/A,#N/A,100,4,#N/A,Weather Conditions
2017,November,24,Vasco Da Gama-Patna Express Derailment,Vasco Da Gama-Patna Express,Chitrakoot,Uttar Pradesh,North Central,Derailment,Derailment,#N/A,3,9,5,#N/A,Weather Conditions
2017,November,24,Paradeep-Cuttack Goods Train Derailment,Paradeep-Cuttack Goods Train,Between Goraknath-Raghunathpur,Odisha,East Coast,Derailment,Derailment,#N/A,#N/A,#N/A,1,#N/A,Weather Conditions
2018,April,25,Karaikkudi–Chennai Pallavan Superfast Express Derailment,Karaikkudi–Chennai Pallavan Superfast Express,Tiruchchirappalli Junction,Tamil Nadu,Southern,Derailment,Derailment,Rail fracture,#N/A,#N/A,3,#N/A,Weather Conditions
2018,May,6,Howrah-Mumbai Mail Fire,Howrah-Mumbai Mail,Between Talni and Dhamangaon,Maharashtra,Central,Fire,Fire,Locomotive defect,1,1,6,#N/A,Human Error
2018,July,24,St Thomas Mount Station Accident,Chennai Beach-Tirumalpur Local,"St Thomas Mount station, Chennai Beach-Tambaram section",Tamil Nadu,Southern,Collision,Collision,Train diverted to wrong platform,5,4,4,#N/A,Technical Fault
2018,October,10,New Farakka Express Accident,New Farakka Express,"Raebareli, Uttar Pradesh",Uttar Pradesh,Northern,Derailment,Derailment,#N/A,7,#N/A,2,#N/A,Weather Conditions
2018,October,19,Amritsar Train Disaster,#N/A,Amritsar,Punjab,Northern,Collision,Collision,Train ran into crowd at Dusshera festival,59,100,5,#N/A,Technical Fault
2019,February,3,Seemanchal Express Derailment,Seemanchal Express,Near Sahadai Buzurg railway station,Bihar,East Central,Derailment,Derailment,#N/A,#N/A,#N/A,3,#N/A,Weather Conditions
2019,March,31,Tapti Ganga Express Derailment,Tapti Ganga Express,Near Gautamsthan railway station,Uttar Pradesh,North Central,Derailment,Derailment,#N/A,#N/A,#N/A,1,#N/A,Weather Conditions
2019,April,20,Poorva Express Derailment,Poorva Express,Outskirts of Kanpur Central near Rooma,Uttar Pradesh,North Central,Derailment,Derailment,#N/A,#N/A,15,4,#N/A,Weather Conditions
2019,August,29,Telangana Express Fire,Telangana Express,"Asaoti railway station, Haryana",Haryana,Northern,Fire,Fire,#N/A,#N/A,#N/A,3,#N/A,Human Error
2019,November,11,Lingampalli MMTS and Hundry Express Collision,"Lingampalli MMTS, Hundry Express",Kacheguda station,Telangana,South Central,Collision,Collision,MMTS ran into incoming Hundry Express,1,16,5,#N/A,Technical Fault
2020,May,8,Aurangabad Railway Accident,#N/A,Between Jalna and Aurangabad districts,Maharashtra,Central,Collision,Collision,Goods train ran over sleeping migrants,16,#N/A,5,#N/A,Technical Fault
2020,July,22,Hyderabad Railway Employees Accident,#N/A,Between Vikarabad and Chittigadda railway station,Telangana,South Central,Collision,Collision,Double engine train ran over employees,3,#N/A,4,#N/A,Technical Fault
2021,August,25,Guwahati-Howrah Saraighat COVID Special Train Derailment,Guwahati-Howrah Saraighat COVID Special Train,Chaygaon railway station,Assam,North East Frontier,Derailment,Derailment,#N/A,#N/A,#N/A,3,#N/A,Weather Conditions
2021,August,25,Southern Railways Employees Accident,#N/A,Near Ambur railway station,Tamil Nadu,Southern,Collision,Collision,"Heavy rain, visibility issues",2,#N/A,2,#N/A,Technical Fault
2022,January,13,Bikaner–Guwahati Express Derailment,Bikaner–Guwahati Express,"Near New Domohani railway station, Mainaguri, Jalpaiguri",West Bengal,North East Frontier,Derailment,Derailment,#N/A,9,#N/A,5,#N/A,Weather Conditions
2022,April,3,Pawan Express Derailment,Pawan Express,Near Nashik,Maharashtra,Central,Derailment,Derailment,#N/A,#N/A,2,1,#N/A,Weather Conditions
2022,March,25,Mumbai–New Delhi Duronto Express Accident,Mumbai–New Delhi Duronto Express,Between Navsari and Maroil Railway Stations,Gujarat,Western,Collision,Collision,"Heavy fog, visibility issues",2,#N/A,4,#N/A,Technical Fault
2022,November,12,Telangana Railway Employees Accident,#N/A,"Mahabubabad district, Telangana",Telangana,South Central,Collision,Collision,Konark Superfast Express,2,#N/A,4,#N/A,Technical Fault
2023,January,2,Suryanagri Express Derailment,Suryanagri Express,Near Marwar Junction railway station,Rajasthan,North Western,Derailment,Derailment,#N/A,#N/A,10,6,#N/A,Weather Conditions
2023,April,3,Elathur Train Fire Incident,Express Train,"Elathur, Kozhikode, Kerala",Kerala,Southern,Fire/Arson,Attack,Passenger set fire to fellow passengers,3,8,2,#N/A,Sabotage
2023,May,15,Chennai-Bangalore Double Decker Express Derailment,Chennai-Bangalore Double Decker Express,Near Bisanattam station,Tamil Nadu,Southern,Derailment,Derailment,#N/A,#N/A,#N/A,8,#N/A,Weather Conditions
2023,June,2,Odisha Train Collision,"Coromandel Express, SMVT Bengaluru–Howrah SF Express","Balasore, Odisha",Odisha,East Coast,Collision,Collision,High speed collision with freight train,296,1289,7,#N/A,Technical Fault
2023,June,8,Nilgiri Mountain Railway Derailment,Nilgiri Mountain Railway,Near Coonoor station,Tamil Nadu,Southern,Derailment,Derailment,#N/A,#N/A,#N/A,6,#N/A,Weather Conditions
2023,June,9,Vijayawada-Chennai Central Jan Shatabdi Express Derailment,Vijayawada-Chennai Central Jan Shatabdi Express,Near Basin Bridge station,Tamil Nadu,Southern,Derailment,Derailment,#N/A,#N/A,#N/A,8,#N/A,Weather Conditions
2023,June,11,Chennai Suburban Local Train Derailment,Chennai Suburban Local Train,Near Basin Bridge station,Tamil Nadu,Southern,Derailment,Derailment,#N/A,#N/A,#N/A,8,#N/A,Weather Conditions
2023,June,22,Lokmanya Tilak Express Fire Incident,Lokmanya Tilak Express,Near Vyasarpadi station,Tamil Nadu,Southern,Fire,Fire,Friction in high-voltage power line,#N/A,#N/A,8,#N/A,Human Error
2023,June,25,Ondagram Goods Train Collision,Downward Goods Train,Ondagram railway station,West Bengal,South Eastern,Collision,Collision,Signal breaking,#N/A,#N/A,3,#N/A,Technical Fault
2023,July,7,Howrah-bound Falaknuma Express Fire Incident,Howrah-bound Falaknuma Express,Between Bommaipally and Pagidipalli,Telangana,South Central,Fire,Fire,#N/A,#N/A,#N/A,8,#N/A,Human Error
2023,August,23,Kurung River Bridge Collapse,#N/A,"Near Sairang, Mizoram",Mizoram,North East Frontier,Collapse,Structure Collapse,Bridge collapse,26,#N/A,5,#N/A,Human Error
2023,August,26,Lucknow-Rameshwaram Bharat Gaurav Train Fire,Lucknow-Rameshwaram Bharat Gaurav Train,Near Madurai Junction,Tamil Nadu,Southern,Fire,Fire,Passenger smuggling gas cylinder,9,20,5,#N/A,Human Error
2023,September,23,Tiruchirappalli–Shri Ganganagar Humsafar SF Express Fire,Tiruchirappalli–Shri Ganganagar Humsafar SF Express,Near Valsad Railway Station,Gujarat,Western,Fire,Fire,#N/A,#N/A,#N/A,1,#N/A,Human Error
2023,September,26,EMU Train Derailment,EMU Train,"Shakur Basti, Mathura",Uttar Pradesh,North Central,Derailment,Derailment,#N/A,#N/A,#N/A,3,#N/A,Weather Conditions
2023,October,11,Anand Vihar Terminal-Kamakhya Junction North East Express Derailment,Anand Vihar Terminal-Kamakhya Junction North East Express,Near Raghunathpur Railway Station,Bihar,East Central,Derailment,Derailment,#N/A,4,70,4,#N/A,Weather Conditions
2023,October,29,Visakhapatnam-Rayagada and Visakhapatnam-Palasa Passenger Train Collision,"Visakhapatnam-Rayagada Passenger Train, Visakhapatnam-Palasa Passenger Train",Near Kottavalasa Junction railway station,Andhra Pradesh,East Coast,Collision,Collision,Collision between trains,14,50,2,#N/A,Technical Fault
2023,October,31,Suheldev Superfast Express Derailment,Suheldev Superfast Express,Outer region of Prayagraj,Uttar Pradesh,North Central,Derailment,Derailment,#N/A,#N/A,#N/A,3,#N/A,Weather Conditions
2023,November,15,Delhi-Darbhanga Superfast Express Fire,Delhi-Darbhanga Superfast Express,Near Etawah,Uttar Pradesh,North Central,Fire,Fire,#N/A,#N/A,#N/A,1,#N/A,Human Error
2023,December,13,Barddhaman Junction Overhead Water Tank Collapse,#N/A,"Barddhaman Junction, West Bengal",West Bengal,Eastern,Collapse,Structure Collapse,Tank collapse,3,34,4,#N/A,Human Error
2024,February,28,Kalajhariya Train Incident,#N/A,"Near Kalajhariya, Jamtara-Karmatand",Jharkhand,Eastern,Collision/Accident,Collision,Train collision,2,#N/A,4,#N/A,Technical Fault
2024,June,15,Ernakulam-Hazrat Nizamuddin Millennium Express Mishap,Ernakulam-Hazrat Nizamuddin Millennium Express,"Near Ramagundam, Telangana",Telangana,South Central,Accident,Structure Collapse,Improper chaining of upper berth,1,1,4,#N/A,Human Error
2024,June,17,West Bengal Train Collision,Kanchanjunga Express,"Near Rangapani, Darjeeling",West Bengal,Eastern,Collision,Collision,Overspeeding freight train hit passenger train,10,60,5,#N/A,Technical Fault
2024,July,18,Uttar Pradesh Train Derailment,Dibrugarh–Chandigarh Express,"Near Jhilahi, Gonda district",Uttar Pradesh,Northern,Derailment,Derailment,#N/A,4,32,5,#N/A,Weather Conditions
2024,July,30,Howrah–Mumbai CSMT Mail Train Derailment,Howrah–Mumbai CSMT Mail,"Near Jamshedpur, Jharkhand",Jharkhand,South Eastern,Derailment,Derailment,#N/A,2,20,2,#N/A,Weather Conditions
2024,August,17,Sabarmati Express Derailment,Sabarmati Express,"Near Kanpur, Uttar Pradesh",Uttar Pradesh,North Central,Derailment,Derailment,Engine hit a boulder,#N/A,#N/A,1,#N/A,Weather Conditions
